LECROYWP740Zi,47836,Waveform,
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1,
#1,3/1/2007 6:05,0,
Time,Ch1,Ch2,
Second,Value,Value,
9.81E-10,-0.659624,-0.659624,
1.01E-09,-0.65746,-0.65746,
1.03E-09,-0.651966,-0.651966,
1.06E-09,-0.644836,-0.644836,
1.08E-09,-0.638511,-0.638511,
1.11E-09,-0.635043,-0.635043,
1.13E-09,-0.63557,-0.63557,
1.16E-09,-0.639759,-0.639759,
1.18E-09,-0.646113,-0.646113,
1.21E-09,-0.652799,-0.652799,
1.23E-09,-0.658209,-0.658209,
1.26E-09,-0.661649,-0.661649,
1.28E-09,-0.663286,-0.663286,
1.31E-09,-0.663896,-0.663896,
1.33E-09,-0.664368,-0.664368,
1.36E-09,-0.6652,-0.6652,
1.38E-09,-0.666643,-0.666643,
1.41E-09,-0.66839,-0.66839,
1.43E-09,-0.67,-0.67,
1.46E-09,-0.67122,-0.67122,
1.48E-09,-0.671942,-0.671942,
1.51E-09,-0.672164,-0.672164,
1.53E-09,-0.672108,-0.672108,
1.56E-09,-0.672108,-0.672108,
1.58E-09,-0.672524,-0.672524,
1.61E-09,-0.673911,-0.673911,
1.63E-09,-0.676686,-0.676686,
1.66E-09,-0.681069,-0.681069,
1.68E-09,-0.686729,-0.686729,
1.71E-09,-0.692805,-0.692805,
1.73E-09,-0.69802,-0.69802,
1.76E-09,-0.701155,-0.701155,
1.78E-09,-0.701349,-0.701349,
1.81E-09,-0.698686,-0.698686,
1.83E-09,-0.694025,-0.694025,
1.86E-09,-0.688893,-0.688893,
1.88E-09,-0.685009,-0.685009,
1.91E-09,-0.683732,-0.683732,
1.93E-09,-0.68573,-0.68573,
1.96E-09,-0.690668,-0.690668,
1.98E-09,-0.697632,-0.697632,
2.01E-09,-0.705123,-0.705123,
2.03E-09,-0.711614,-0.711614,
2.06E-09,-0.715915,-0.715915,
2.08E-09,-0.71733,-0.71733,
2.11E-09,-0.715915,-0.715915,
2.13E-09,-0.712336,-0.712336,
2.16E-09,-0.707814,-0.707814,
2.18E-09,-0.703846,-0.703846,
2.21E-09,-0.701599,-0.701599,
2.23E-09,-0.70196,-0.70196,
2.26E-09,-0.704956,-0.704956,
2.28E-09,-0.709922,-0.709922,
2.31E-09,-0.715443,-0.715443,
2.33E-09,-0.720076,-0.720076,
2.36E-09,-0.722767,-0.722767,
2.38E-09,-0.723378,-0.723378,
2.41E-09,-0.722878,-0.722878,
2.43E-09,-0.723017,-0.723017,
2.46E-09,-0.725486,-0.725486,
2.48E-09,-0.731368,-0.731368,
2.51E-09,-0.740245,-0.740245,
2.53E-09,-0.750538,-0.750538,
2.56E-09,-0.759693,-0.759693,
2.58E-09,-0.765353,-0.765353,
2.61E-09,-0.765936,-0.765936,
2.63E-09,-0.761608,-0.761608,
2.66E-09,-0.7542,-0.7542,
2.68E-09,-0.746515,-0.746515,
2.71E-09,-0.741494,-0.741494,
2.73E-09,-0.740828,-0.740828,
2.76E-09,-0.744546,-0.744546,
2.78E-09,-0.75101,-0.75101,
2.81E-09,-0.757807,-0.757807,
2.83E-09,-0.762634,-0.762634,
2.86E-09,-0.764271,-0.764271,
2.88E-09,-0.762939,-0.762939,
2.91E-09,-0.759721,-0.759721,
2.93E-09,-0.755893,-0.755893,
2.96E-09,-0.75248,-0.75248,
2.98E-09,-0.74965,-0.74965,
3.01E-09,-0.746932,-0.746932,
3.03E-09,-0.743547,-0.743547,
3.06E-09,-0.738914,-0.738914,
3.08E-09,-0.732921,-0.732921,
3.11E-09,-0.726096,-0.726096,
3.13E-09,-0.719272,-0.719272,
3.16E-09,-0.713529,-0.713529,
3.18E-09,-0.709617,-0.709617,
3.21E-09,-0.707814,-0.707814,
3.23E-09,-0.70773,-0.70773,
3.26E-09,-0.708424,-0.708424,
3.28E-09,-0.708674,-0.708674,
3.31E-09,-0.707453,-0.707453,
3.33E-09,-0.704096,-0.704096,
3.36E-09,-0.698658,-0.698658,
3.38E-09,-0.691889,-0.691889,
3.41E-09,-0.685064,-0.685064,
3.43E-09,-0.67946,-0.67946,
3.46E-09,-0.676131,-0.676131,
3.48E-09,-0.675576,-0.675576,
3.51E-09,-0.677268,-0.677268,
3.53E-09,-0.679932,-0.679932,
3.56E-09,-0.681735,-0.681735,
3.58E-09,-0.681069,-0.681069,
3.61E-09,-0.677157,-0.677157,
3.63E-09,-0.67036,-0.67036,
3.66E-09,-0.662259,-0.662259,
3.68E-09,-0.655018,-0.655018,
3.71E-09,-0.650579,-0.650579,
3.73E-09,-0.650024,-0.650024,
